,root,d+,d-
GO:0070649,11,2,0
GO:0046063,11,2,1
GO:0010949,9,2,0
GO:1902915,12,3,2
GO:0003210,10,2,0
GO:0051216,6,3,11
GO:1904520,6,2,0
GO:0106046,9,1,0
GO:0032000,11,5,0
GO:0071345,5,2,27
GO:0046761,7,2,0
GO:0060825,9,2,2
GO:0019407,8,2,1
GO:0002519,7,1,0
GO:0120094,9,3,0
GO:0006813,7,1,4
GO:0009954,6,1,2
GO:0071041,11,2,1
GO:0001710,10,2,5
GO:1905259,9,3,0
GO:0003195,11,2,0
GO:0051232,9,4,0
GO:1903438,9,3,0
GO:0010922,9,3,4
GO:0006825,8,1,2
GO:2000371,5,2,1
GO:1904616,5,1,3
GO:0070995,11,1,0
GO:0070625,9,1,0
GO:0045223,8,2,1
GO:1904778,8,3,1
GO:2000566,11,4,0
GO:0060828,8,2,2
GO:1902102,11,4,3
GO:0036295,5,2,1
GO:0032377,7,3,3
GO:0021979,11,2,1
GO:0009263,9,3,1
GO:0000050,6,3,0
GO:0071866,7,3,1
GO:0106383,13,2,0
GO:0022898,6,2,4
GO:0061347,11,2,0
GO:0002090,8,2,4
GO:0010389,8,3,2
GO:2000382,6,3,1
GO:1905069,4,1,0
GO:0007588,3,1,4
GO:0071642,11,3,0
GO:0009099,8,3,0
GO:0001827,11,2,0
GO:0018401,9,3,0
GO:1902661,11,3,0
GO:0072680,9,2,1
GO:0002329,11,1,1
GO:0034373,9,1,0
GO:0033233,10,2,3
GO:1902595,5,1,0
GO:0051985,7,3,2
GO:0090185,8,4,3
GO:0060327,5,2,0
GO:0050732,10,3,4
GO:0010573,7,1,3
GO:0035930,10,1,5
GO:0048219,7,1,0
GO:0097252,6,1,3
GO:0010669,5,1,1
GO:0072025,11,2,2
GO:0033962,7,1,3
GO:1902808,8,3,1
GO:0046928,10,4,6
GO:0097534,4,1,1
GO:0032823,10,3,3
GO:0046580,10,3,0
GO:1901732,5,2,1
GO:0002528,6,2,0
GO:1904032,7,2,1
GO:0061038,8,3,0
GO:0070431,15,1,3
GO:0010564,5,2,25
GO:0042595,6,1,0
GO:0043490,7,2,0
GO:0043316,9,3,2
GO:2000200,9,3,2
GO:0071305,8,5,1
GO:0034165,17,3,0
GO:0110017,10,1,1
GO:0006091,3,1,7
GO:0032929,8,3,0
GO:1902336,16,3,0
GO:0010893,8,4,5
GO:0071420,6,3,0
GO:0090212,9,3,0
