"ENSEMBL","GO"
"ENSG00000007392","GO:0006376"
"ENSG00000007402","GO:0034765"
"ENSG00000007516","GO:0001956"
"ENSG00000007520","GO:0000154"
"ENSG00000007541","GO:0005975"
"ENSG00000007545","GO:0007389"
"ENSG00000007866","GO:0006357"
"ENSG00000007908","GO:0002092"
"ENSG00000007923","GO:0007007"
"ENSG00000007933","GO:0042412"
"ENSG00000007944","GO:0006511"
"ENSG00000007952","GO:0001525"
"ENSG00000007968","GO:0000083"
"ENSG00000008018","GO:0043161"
"ENSG00000008056","GO:0007268"
"ENSG00000008083","GO:0000122"
"ENSG00000008086","GO:0001764"
"ENSG00000008118","GO:0016310"
"ENSG00000008128","GO:0000278"
"ENSG00000008130","GO:0006741"
"ENSG00000008196","GO:0000122"
"ENSG00000008197","GO:0006357"
"ENSG00000008226","GO:0002357"
"ENSG00000008256","GO:0032012"
"ENSG00000008277","GO:0006508"
"ENSG00000008282","GO:0007268"
"ENSG00000008283","GO:0006879"
"ENSG00000008294","GO:0001933"
"ENSG00000008300","GO:0007156"
"ENSG00000008311","GO:0000122"
"ENSG00000008323","GO:0051056"
"ENSG00000008324","GO:0045893"
"ENSG00000008382","GO:0006302"
"ENSG00000008394","GO:0034635"
"ENSG00000008405","GO:0000122"
"ENSG00000008438","GO:0007165"
"ENSG00000008441","GO:0000122"
"ENSG00000008513","GO:0002319"
"ENSG00000008516","GO:0006508"
"ENSG00000008517","GO:0006952"
"ENSG00000008710","GO:0001502"
"ENSG00000008735","GO:0001662"
"ENSG00000008838","GO:0032968"
"ENSG00000008853","GO:0006897"
"ENSG00000008869","GO:0006897"
"ENSG00000008952","GO:0006613"
"ENSG00000008988","GO:0002181"
"ENSG00000009307","GO:0006446"
"ENSG00000009335","GO:0000209"
"ENSG00000009413","GO:0000724"
"ENSG00000009694","GO:0006359"
"ENSG00000009709","GO:0006357"
"ENSG00000009724","GO:0001867"
"ENSG00000009765","GO:0006570"
"ENSG00000009790","GO:0032481"
"ENSG00000009830","GO:0021542"
"ENSG00000009844","GO:0015031"
"ENSG00000009950","GO:0000122"
"ENSG00000009954","GO:0006338"
"ENSG00000010017","GO:0007010"
"ENSG00000010030","GO:0000122"
"ENSG00000010072","GO:0006508"
"ENSG00000010165","GO:0000122"
"ENSG00000010219","GO:0016310"
"ENSG00000010244","GO:0000070"
"ENSG00000010256","GO:0006119"
"ENSG00000010270","GO:0030301"
"ENSG00000010278","GO:0007155"
"ENSG00000010282","GO:0060262"
"ENSG00000010292","GO:0007076"
"ENSG00000010295","GO:0006303"
"ENSG00000010310","GO:0002029"
"ENSG00000010319","GO:0001755"
"ENSG00000010322","GO:0006915"
"ENSG00000010327","GO:0006898"
"ENSG00000010361","GO:0001736"
"ENSG00000010379","GO:0015718"
"ENSG00000010404","GO:0006027"
"ENSG00000010438","GO:0006508"
"ENSG00000010539","GO:0008150"
"ENSG00000010610","GO:0001934"
"ENSG00000010626","GO:0008150"
"ENSG00000010671","GO:0001780"
"ENSG00000010704","GO:0001916"
"ENSG00000010803","GO:0031507"
"ENSG00000010810","GO:0000304"
"ENSG00000010818","GO:0006357"
"ENSG00000010932","GO:0000098"
"ENSG00000011007","GO:0006357"
"ENSG00000011009","GO:0002084"
"ENSG00000011021","GO:0006821"
"ENSG00000011028","GO:0001649"
"ENSG00000011083","GO:0006836"
"ENSG00000011105","GO:0008150"
"ENSG00000011114","GO:0060693"
"ENSG00000011132","GO:0001701"
"ENSG00000011143","GO:0001843"
"ENSG00000011198","GO:0006631"
"ENSG00000011201","GO:0006935"
"ENSG00000011243","GO:0006397"
"ENSG00000011258","GO:0000724"
"ENSG00000011260","GO:0006364"
"ENSG00000011275","GO:0006915"
"ENSG00000011295","GO:0000281"
"ENSG00000011304","GO:0000381"
"ENSG00000011332","GO:0006338"
"ENSG00000011347","GO:0001778"
"ENSG00000011376","GO:0006418"
"ENSG00000011405","GO:0006661"
"ENSG00000011422","GO:0001934"
"ENSG00000011426","GO:0000281"
"ENSG00000011451","GO:0006357"
"ENSG00000011454","GO:0007049"
"ENSG00000011465","GO:0009887"
"ENSG00000011478","GO:0017186"
"ENSG00000011485","GO:0000165"
"ENSG00000011523","GO:0007098"
"ENSG00000011566","GO:0006468"
"ENSG00000011590","GO:0000122"
"ENSG00000011600","GO:0002222"
"ENSG00000011638","GO:0140042"
"ENSG00000011677","GO:0007165"
"ENSG00000012048","GO:0000724"
"ENSG00000012061","GO:0000720"
"ENSG00000012124","GO:0002638"
"ENSG00000012171","GO:0001755"
"ENSG00000012174","GO:0007095"
"ENSG00000012211","GO:0008150"
"ENSG00000012223","GO:0001503"
"ENSG00000012232","GO:0015012"
"ENSG00000012504","GO:0000122"
"ENSG00000012660","GO:0006636"
"ENSG00000012779","GO:0001937"
"ENSG00000012817","GO:0002457"
"ENSG00000012822","GO:0007165"
"ENSG00000012963","GO:0008150"
"ENSG00000012983","GO:0000165"
"ENSG00000013016","GO:0001881"
"ENSG00000013275","GO:0001824"
"ENSG00000013288","GO:0006013"
"ENSG00000013293","GO:0003333"
"ENSG00000013297","GO:0007155"
"ENSG00000013306","GO:0006783"
"ENSG00000013364","GO:0015031"
"ENSG00000013374","GO:0006511"
"ENSG00000013375","GO:0005975"
"ENSG00000013441","GO:0016310"
"ENSG00000013503","GO:0006383"
"ENSG00000013561","GO:0000209"
"ENSG00000013563","GO:0006259"
"ENSG00000013573","GO:0006281"
"ENSG00000013583","GO:0007623"
"ENSG00000013588","GO:0007165"
"ENSG00000013619","GO:0006357"
"ENSG00000013725","GO:0001771"
"ENSG00000013810","GO:0000226"
"ENSG00000014123","GO:0000077"
"ENSG00000014138","GO:0006260"
"ENSG00000014164","GO:0031124"
"ENSG00000014216","GO:0006508"
"ENSG00000014257","GO:0006144"
"ENSG00000014641","GO:0006094"
"ENSG00000014824","GO:0006289"
"ENSG00000014919","GO:0006123"
"ENSG00000015133","GO:0001932"
"ENSG00000015153","GO:0006355"
"ENSG00000015171","GO:0006325"
"ENSG00000015285","GO:0002625"
"ENSG00000015413","GO:0006508"
"ENSG00000015475","GO:0001836"
"ENSG00000015479","GO:0001825"
"ENSG00000015520","GO:0006695"
"ENSG00000015532","GO:0006024"
"ENSG00000015568","GO:0006607"
"ENSG00000015592","GO:0007019"
"ENSG00000015676","GO:0006457"
"ENSG00000016082","GO:0000122"
"ENSG00000016391","GO:0019285"
"ENSG00000016402","GO:0019221"
"ENSG00000016490","GO:0006508"
"ENSG00000016602","GO:0006508"
"ENSG00000016864","GO:0071704"
"ENSG00000017260","GO:0006816"
"ENSG00000017427","GO:0001501"
"ENSG00000017483","GO:0006865"
"ENSG00000017797","GO:0001934"
"ENSG00000018189","GO:0007015"
"ENSG00000018236","GO:0007155"
"ENSG00000018280","GO:0001818"
"ENSG00000018408","GO:0000122"
"ENSG00000018510","GO:0008610"
"ENSG00000018610","GO:0006888"
"ENSG00000018625","GO:0001504"
"ENSG00000018699","GO:0008150"
"ENSG00000018869","GO:0000122"
"ENSG00000019102","GO:0006629"
"ENSG00000019144","GO:0010470"
"ENSG00000019169","GO:0001934"
"ENSG00000019186","GO:0001649"
"ENSG00000019485","GO:0010468"
"ENSG00000019505","GO:0014059"
"ENSG00000019549","GO:0000122"
"ENSG00000019582","GO:0001516"
"ENSG00000019991","GO:0000278"
"ENSG00000019995","GO:0007010"
"ENSG00000020129","GO:0031175"
"ENSG00000020181","GO:0002040"
"ENSG00000020219","GO:0006457"
"ENSG00000020256","GO:0045944"
"ENSG00000020426","GO:0000079"
"ENSG00000020577","GO:0000289"
"ENSG00000020633","GO:0000122"
"ENSG00000020922","GO:0000019"
"ENSG00000021300","GO:0007602"
"ENSG00000021355","GO:0010951"
"ENSG00000021461","GO:0008202"
"ENSG00000021488","GO:0003333"
"ENSG00000021574","GO:0000281"
"ENSG00000021645","GO:0007158"
"ENSG00000021762","GO:0006893"
"ENSG00000021776","GO:0000398"
"ENSG00000021826","GO:0000050"
"ENSG00000021852","GO:0006955"
"ENSG00000022267","GO:0003254"
"ENSG00000022277","GO:0072711"
"ENSG00000022355","GO:0007165"
"ENSG00000022556","GO:0006915"
"ENSG00000022567","GO:0015770"
"ENSG00000022840","GO:0006513"
"ENSG00000023041","GO:0006612"
"ENSG00000023171","GO:0032366"
"ENSG00000023191","GO:0006402"
"ENSG00000023228","GO:0006120"
"ENSG00000023287","GO:0000045"
"ENSG00000023318","GO:0006457"
"ENSG00000023330","GO:0006782"
"ENSG00000023445","GO:0006915"
"ENSG00000023516","GO:0003091"
"ENSG00000023572","GO:0006355"
"ENSG00000023608","GO:0042795"
"ENSG00000023697","GO:0006098"
"ENSG00000023734","GO:0000122"
"ENSG00000023839","GO:0006805"
"ENSG00000023892","GO:0051056"
"ENSG00000023902","GO:0007520"
"ENSG00000023909","GO:0006534"
"ENSG00000024048","GO:0007131"
"ENSG00000024422","GO:0006897"
"ENSG00000024526","GO:0035556"
"ENSG00000025039","GO:0008104"
"ENSG00000025156","GO:0006357"
"ENSG00000025293","GO:0006325"
"ENSG00000025423","GO:0006702"
"ENSG00000025434","GO:0000122"
"ENSG00000025708","GO:0000002"
"ENSG00000025770","GO:0007076"
"ENSG00000025772","GO:0006626"
"ENSG00000025796","GO:0001889"
"ENSG00000025800","GO:0006366"
"ENSG00000026025","GO:0010977"
"ENSG00000026103","GO:0001934"
"ENSG00000026297","GO:0006401"
"ENSG00000026508","GO:0006954"
"ENSG00000026559","GO:0006813"
"ENSG00000026652","GO:0006654"
"ENSG00000026751","GO:0002250"
"ENSG00000026950","GO:0001817"
"ENSG00000027001","GO:0006518"
"ENSG00000027075","GO:0006468"
"ENSG00000027644","GO:0007169"
"ENSG00000027697","GO:0001774"
"ENSG00000027847","GO:0005975"
"ENSG00000027869","GO:0001525"
"ENSG00000028116","GO:0006468"
"ENSG00000028137","GO:0002718"
"ENSG00000028203","GO:0098609"
"ENSG00000028277","GO:0006357"
"ENSG00000028310","GO:0006338"
"ENSG00000028528","GO:0006886"
"ENSG00000028839","GO:0001675"
"ENSG00000029153","GO:0006355"
"ENSG00000029363","GO:0006915"
"ENSG00000029364","GO:0006882"
"ENSG00000029534","GO:0006887"
"ENSG00000029559","GO:0001649"
"ENSG00000029639","GO:0000154"
"ENSG00000029725","GO:0006893"
"ENSG00000029993","GO:0006310"
"ENSG00000030066","GO:0006406"
"ENSG00000030110","GO:0001782"
"ENSG00000030304","GO:0001934"
"ENSG00000030419","GO:0006357"
"ENSG00000030582","GO:0002265"
"ENSG00000031003","GO:0007165"
"ENSG00000031081","GO:0007264"
"ENSG00000031691","GO:0007059"
"ENSG00000031698","GO:0000122"
"ENSG00000031823","GO:0006611"
"ENSG00000032219","GO:0000122"
"ENSG00000032389","GO:0016567"
"ENSG00000032444","GO:0046470"
"ENSG00000032742","GO:0001822"
"ENSG00000033011","GO:0006486"
"ENSG00000033030","GO:0000398"
"ENSG00000033100","GO:0030206"
"ENSG00000033122","GO:0009790"
"ENSG00000033170","GO:0001701"
"ENSG00000033178","GO:0006511"
"ENSG00000033327","GO:0007165"
"ENSG00000033627","GO:0007035"
"ENSG00000033800","GO:0000082"
"ENSG00000033867","GO:0006164"
"ENSG00000034053","GO:0001701"
"ENSG00000034152","GO:0000165"
"ENSG00000034239","GO:0003341"
"ENSG00000034510","GO:0007015"
"ENSG00000034677","GO:0000209"
"ENSG00000034693","GO:0007031"
"ENSG00000034713","GO:0000045"
"ENSG00000034971","GO:0001649"
"ENSG00000035115","GO:0006661"
"ENSG00000035403","GO:0002009"
"ENSG00000035499","GO:0016477"
"ENSG00000035664","GO:0006468"
"ENSG00000035681","GO:0006672"
"ENSG00000035687","GO:0002376"
"ENSG00000035720","GO:0007169"
"ENSG00000035862","GO:0009725"
"ENSG00000035928","GO:0000122"
"ENSG00000036054","GO:0007420"
"ENSG00000036257","GO:0000082"
"ENSG00000036448","GO:0002074"
"ENSG00000036473","GO:0000050"
"ENSG00000036530","GO:0006699"
"ENSG00000036549","GO:0006325"
"ENSG00000036565","GO:0015842"
"ENSG00000036672","GO:0000122"
"ENSG00000036828","GO:0001503"
"ENSG00000037042","GO:0000070"
"ENSG00000037241","GO:0002181"
"ENSG00000037280","GO:0001525"
"ENSG00000037474","GO:0001701"
"ENSG00000037749","GO:0035723"
"ENSG00000037757","GO:0019284"
"ENSG00000037897","GO:0006400"
"ENSG00000037965","GO:0000122"
"ENSG00000038002","GO:0006508"
"ENSG00000038210","GO:0006661"
"ENSG00000038219","GO:0006281"
"ENSG00000038274","GO:0006556"
"ENSG00000038295","GO:0001501"
"ENSG00000038358","GO:0008150"
"ENSG00000038382","GO:0007185"
"ENSG00000038427","GO:0001501"
"ENSG00000038532","GO:0006914"
"ENSG00000038945","GO:0006898"
"ENSG00000039068","GO:0000902"
"ENSG00000039123","GO:0000398"
"ENSG00000039139","GO:0003341"
"ENSG00000039319","GO:0006622"
"ENSG00000039523","GO:0007266"
"ENSG00000039537","GO:0001701"
"ENSG00000039560","GO:0007283"
"ENSG00000039600","GO:0000122"
"ENSG00000039650","GO:0006261"
"ENSG00000039987","GO:0007608"
"ENSG00000040199","GO:0007165"
"ENSG00000040275","GO:0000132"
"ENSG00000040341","GO:0007281"
"ENSG00000040487","GO:0015819"
"ENSG00000040531","GO:0002088"
"ENSG00000040608","GO:0007166"
"ENSG00000040633","GO:0006914"
"ENSG00000040731","GO:0000902"
"ENSG00000040933","GO:0006661"
"ENSG00000041353","GO:0006887"
"ENSG00000041357","GO:0010498"
"ENSG00000041515","GO:0008285"
"ENSG00000041802","GO:0000054"
"ENSG00000041880","GO:0000723"
"ENSG00000041982","GO:0001558"
"ENSG00000041988","GO:0045944"
"ENSG00000042088","GO:0000012"
"ENSG00000042286","GO:0006743"
"ENSG00000042317","GO:0000226"
"ENSG00000042429","GO:0006357"
"ENSG00000042445","GO:0042572"
"ENSG00000042493","GO:0007417"
"ENSG00000042753","GO:0006886"
"ENSG00000042781","GO:0007601"
"ENSG00000042813","GO:0001675"
"ENSG00000042832","GO:0006590"
"ENSG00000042980","GO:0006508"
"ENSG00000043039","GO:0000122"
"ENSG00000043093","GO:0031396"
"ENSG00000043143","GO:0001558"
"ENSG00000043355","GO:0006357"
"ENSG00000043462","GO:0006955"
"ENSG00000043514","GO:0006400"
"ENSG00000043591","GO:0001996"
"ENSG00000044012","GO:0019934"
"ENSG00000044090","GO:0000226"
"ENSG00000044115","GO:0001541"
"ENSG00000044446","GO:0005975"
"ENSG00000044459","GO:0010457"
"ENSG00000044524","GO:0006468"
"ENSG00000044574","GO:0006983"
"ENSG00000046604","GO:0002934"
"ENSG00000046647","GO:0000387"
"ENSG00000046651","GO:0060271"
"ENSG00000046653","GO:0001503"
"ENSG00000046774","GO:0000122"
"ENSG00000046889","GO:0007186"
"ENSG00000047056","GO:0002260"
"ENSG00000047188","GO:0007286"
"ENSG00000047230","GO:0006220"
"ENSG00000047249","GO:0006897"
"ENSG00000047315","GO:0006366"
"ENSG00000047365","GO:0007165"
"ENSG00000047410","GO:0000122"
"ENSG00000047457","GO:0006825"
"ENSG00000047578","GO:0090660"
"ENSG00000047579","GO:0001934"
"ENSG00000047597","GO:0006865"
"ENSG00000047617","GO:0034220"
"ENSG00000047621","GO:0043304"
"ENSG00000047634","GO:0045892"
"ENSG00000047644","GO:0000122"
"ENSG00000047648","GO:0007202"
"ENSG00000047849","GO:0000226"
"ENSG00000047932","GO:0006888"
"ENSG00000047936","GO:0001558"
"ENSG00000048028","GO:0000077"
"ENSG00000048052","GO:0000122"
"ENSG00000048140","GO:0016567"
"ENSG00000048162","GO:0042273"
"ENSG00000048342","GO:0001822"
"ENSG00000048392","GO:0000731"
"ENSG00000048405","GO:0006355"
"ENSG00000048462","GO:0002250"
"ENSG00000048540","GO:0035360"
"ENSG00000048544","GO:0008150"
"ENSG00000048545","GO:0007165"
"ENSG00000048649","GO:0006325"
"ENSG00000048707","GO:0006623"
"ENSG00000048740","GO:0000381"
"ENSG00000049089","GO:0001501"
"ENSG00000049130","GO:0001541"
"ENSG00000049167","GO:0000012"
"ENSG00000049192","GO:0001822"
"ENSG00000049239","GO:0006006"
"ENSG00000049245","GO:0001921"
"ENSG00000049246","GO:0000122"
"ENSG00000049247","GO:0006936"
"ENSG00000049249","GO:0006915"
"ENSG00000049283","GO:0006897"
"ENSG00000049323","GO:0007178"
"ENSG00000049449","GO:0001701"
"ENSG00000049540","GO:0003151"
"ENSG00000049541","GO:0006261"
"ENSG00000049618","GO:0002931"
"ENSG00000049656","GO:0006915"
"ENSG00000049759","GO:0003254"
"ENSG00000049768","GO:0000122"
"ENSG00000049769","GO:0005979"
"ENSG00000049860","GO:0001501"
"ENSG00000049883","GO:0001822"
"ENSG00000050030","GO:0001953"
"ENSG00000050130","GO:0006986"
"ENSG00000050165","GO:0009653"
"ENSG00000050327","GO:0002408"
"ENSG00000050344","GO:0000122"
"ENSG00000050393","GO:0006851"
"ENSG00000050405","GO:0008203"
"ENSG00000050426","GO:0007005"
"ENSG00000050438","GO:0015701"
"ENSG00000050555","GO:0000902"
"ENSG00000050628","GO:0006954"
