,root,d+,d-
GO:0090090,5,3,0
GO:0030916,5,2,1
GO:0070203,6,3,2
GO:0045454,3,1,0
GO:0071233,5,4,0
GO:0046986,5,4,0
GO:0019287,5,2,0
GO:1903979,5,4,0
GO:0065008,2,1,34
GO:0061890,4,5,0
GO:0036290,7,1,1
GO:0032474,4,3,0
GO:0070857,5,5,2
GO:0090150,4,2,10
GO:0035564,4,2,1
GO:0003138,6,1,0
GO:0021549,3,2,5
GO:0035281,6,2,0
GO:0000348,6,2,0
GO:0032641,4,3,2
GO:1904825,10,1,1
GO:0007340,2,2,5
GO:0097745,8,3,0
GO:0046879,5,2,7
GO:0002678,5,3,1
GO:0006046,7,2,0
GO:0071276,6,2,1
GO:0007289,5,2,2
GO:0080135,3,3,17
GO:1905661,6,1,2
GO:0071279,6,2,0
GO:0000349,6,2,0
GO:1901908,7,1,1
GO:0030845,4,1,0
GO:0050708,4,3,8
GO:1902910,3,4,0
GO:0060292,4,2,3
GO:1902691,5,2,0
GO:0042748,4,2,3
GO:0140253,2,1,1
GO:0034250,3,3,5
GO:0043649,6,2,6
GO:1905857,5,3,0
GO:0032673,4,2,2
GO:0060529,4,4,0
GO:0006438,6,1,0
GO:0071544,6,2,0
GO:0071224,5,4,0
GO:0007051,3,2,7
GO:1903412,4,3,1
GO:0072036,4,3,1
GO:0000255,3,3,1
GO:0061145,5,2,0
GO:0008652,4,2,8
GO:0090034,5,2,1
GO:0032674,4,2,2
GO:0048489,2,4,4
GO:1990832,6,1,0
GO:0042321,3,4,2
GO:1904879,6,3,0
GO:0048872,3,1,7
GO:1990592,10,1,0
GO:0021547,4,4,0
GO:0097746,5,3,4
GO:0098967,4,3,1
GO:2000797,6,2,1
GO:0060556,5,4,2
GO:0051875,3,2,3
GO:0045005,6,2,5
GO:2001057,2,1,2
GO:0044784,4,2,5
GO:0089708,5,4,0
GO:0042666,5,3,0
GO:1902460,5,2,2
GO:0006449,5,3,1
GO:0051402,5,1,10
GO:0120183,5,3,0
GO:0072258,6,2,1
GO:0018993,3,2,2
GO:0106001,5,1,1
GO:2001135,4,3,3
GO:0035418,6,1,5
GO:2001293,4,1,2
GO:2001019,4,3,1
GO:0072143,4,2,1
GO:0048925,5,1,4
GO:0001702,5,1,3
GO:0031547,6,1,3
GO:1904781,4,3,0
GO:2000892,7,2,0
GO:0001694,4,3,0
GO:0090184,3,4,4
GO:0040034,3,1,1
GO:1903281,6,3,0
GO:0036120,5,2,0
GO:0009789,4,3,0
GO:1903119,7,1,1
GO:0045728,4,1,0
GO:0032946,5,3,1
GO:0043397,5,2,1
GO:0060980,5,3,0
GO:1902367,5,3,0
GO:0035790,7,1,2
GO:0097111,5,1,0
GO:0060235,3,2,0
GO:0006501,6,2,1
GO:2000730,6,3,0
GO:0071043,6,1,1
GO:0015675,8,1,1
GO:0015721,5,3,1
GO:0010606,5,3,0
GO:0106101,7,1,0
GO:1901841,8,1,2
GO:1904466,5,3,0
GO:0032658,4,2,1
GO:0046352,6,2,5
GO:0000041,7,1,9
GO:0044380,6,1,3
GO:0045837,4,1,1
GO:0070373,6,3,0
GO:0033634,5,4,0
GO:0060957,5,3,1
GO:0060719,4,2,0
GO:0032759,5,3,0
GO:1905806,5,2,1
GO:0070306,4,2,4
GO:1904303,3,4,0
GO:0000398,8,2,10
GO:1905737,5,3,0
GO:0006805,3,2,7
GO:0090153,4,5,3
GO:0034092,4,3,1
GO:1903243,5,4,0
GO:0090611,6,1,0
GO:0006511,7,1,7
GO:0060846,5,2,2
GO:0022407,4,2,12
GO:2001256,7,2,0
GO:0086018,5,2,1
GO:0046452,5,2,0
GO:0007205,4,1,0
GO:0035668,8,1,1
GO:0050870,5,4,9
GO:1904300,3,5,0
GO:0002819,4,2,4
GO:0051205,5,3,4
GO:0042326,6,3,2
GO:0043303,4,5,5
GO:0021680,3,2,2
GO:0045907,3,3,1
GO:0090174,6,2,2
GO:0060369,4,4,1
GO:0006068,6,2,0
GO:1901463,4,3,2
GO:1990505,5,2,1
GO:0048512,3,2,3
GO:0034728,8,1,2
GO:0033306,5,3,0
GO:0043131,6,2,2
GO:0006930,5,2,0
GO:1903018,5,2,4
GO:0006420,6,1,0
GO:0150094,3,2,0
GO:1904226,5,1,1
GO:1900077,3,4,1
GO:0098911,4,3,1
GO:0006404,5,2,1
GO:0070918,7,2,4
GO:0061930,4,3,1
GO:0043133,4,2,1
GO:1902108,5,2,2
GO:1902603,3,2,1
GO:0072385,5,1,0
GO:0006428,6,1,0
GO:0061346,5,3,5
GO:0085020,10,1,0
GO:0017158,6,2,5
GO:0000184,8,1,3
GO:0071692,5,1,2
GO:0006480,5,2,4
GO:0010935,5,2,2
GO:0034369,3,3,4
GO:1900047,2,3,1
